,Mean_Correlation,CI_Lower,CI_Upper
AGE,0.15861436664645742,0.15063069191126813,0.1663317897860353
LLANG,0.14556316012224274,0.13647657661601365,0.1548373393413596
RENOV_METOD_PES,0.14525292161245817,0.13458624577278883,0.1565635965230924
RENOV_AR,0.14525292161245817,0.13458624577278883,0.1565635965230924
MATERIAL_BTG,0.1438562146439183,0.13804664247587334,0.1500588456003918
INND,0.1220525228818946,0.11070260304164722,0.13339065640913741
soil_cross_31_very_far,0.05596476617587144,0.042537246347127494,0.06869467058954337
soil_17.0,0.04095944744259446,0.031776584333123456,0.05047492886611997
soil_cross_91_far,0.03539002770718293,0.023188920902814297,0.046018708033928296
FTYP_S,0.03531625269391363,0.02559408013938578,0.044350532987417146
soil_16.0,0.033518797003176545,0.02050764175998481,0.043558253277322975
soil_cross_91_close,0.032073197276190034,0.019541543267734454,0.042555430515942225
soil_200.0,0.02816631686338208,0.018084626158819006,0.03753814357329202
FTYP_K,0.024745378802324774,0.014789875123998715,0.034447393150619905
soil_cross_890_very_far,0.02405443354063577,0.013227833061716652,0.034209975354418797
soil_cross_28_intersect,0.02081595834840673,0.0048939644552384795,0.03266134071295666
soil_cross_95_far,0.020189958802737752,0.008725282936205425,0.030952434226151862
soil_cross_17_intersect,0.02008770452581639,0.0,0.02557245800390712
soil_cross_91_very_far,0.0197359669101478,0.006979388716022081,0.030405236485089353
soil_cross_40_very_far,0.015495980359992775,0.003350625754758845,0.025925867270430707
soil_cross_28_very_close,0.015088137163375663,-0.0062488770836444715,0.0267503601168327
soil_cross_28_very_far,0.014741194202285136,-0.00627901301272744,0.02662389829938069
soil_cross_200_very_close,0.013937712739934957,0.0024331735007245545,0.02359573523046376
soil_cross_31_medium,0.013829961667637785,0.0027271761684941054,0.02316096984079917
soil_28.0,0.013123678770165187,0.0026540940369032817,0.02284221292221126
soil_cross_31_far,0.013122356345547459,0.00178090227299654,0.022237060498057428
soil_9.0,0.012027036048190269,-0.007657005260499644,0.026333144955114126
soil_cross_200_far,0.01069872245611924,0.0006314528653066481,0.01955209769613452
soil_cross_31_intersect,0.00963971289180945,-0.0021788383134681804,0.019081283622738702
MATERIAL_H,0.00808294144681797,-0.0027849121514647514,0.017314949368000127
soil_cross_nan,0.007841322596827707,-0.0063091597669811894,0.025079982064464445
soil_nan,0.007841322596827707,-0.0063091597669811894,0.025079982064464445
soil_cross_40_intersect,0.007629034067997468,-0.002689747518100966,0.016598681524642323
soil_cross_95_intersect,0.007628487364478702,-0.004729612828819354,0.017051390413730022
soil_cross_28_far,0.007536603450827263,-0.0037771797318866926,0.016289358727749864
soil_cross_200_intersect,0.006384064895536404,-0.0036346309648591945,0.016073692737226263
soil_cross_31_close,0.006295716900818462,-0.0044724641450311,0.015618563148882405
soil_1.0,0.005779534577674023,-0.009895204985357581,0.013568109621965663
soil_cross_31_very_close,0.004271633149942071,-0.010832367057392003,0.013200489871013632
soil_cross_95_medium,0.004035884524764247,-0.006486692200880676,0.012908847794155982
soil_cross_33_medium,0.00391541141191616,-0.007661187964472666,0.012245486319534498
soil_cross_200_close,0.003817860204549069,-0.005885730929660749,0.01307496521735233
soil_cross_890_intersect,0.0022554041732921327,-0.007829595109891101,0.010958953878071357
soil_cross_28_medium,0.0018172586240802486,-0.009653164235054414,0.009914994112180692
soil_cross_200_medium,0.0017100272095649837,-0.008225566365273284,0.010534609197137036
soil_cross_95_close,0.0014594967749674468,-0.009479563228550914,0.009668567164562148
soil_cross_95_very_far,0.0011331772058694378,-0.009719718413265067,0.008872097839888515
soil_cross_50_intersect,0.0002904775367875756,-0.012657606440732433,0.008337930591420604
soil_31.0,-0.0012021200829441824,-0.010294884121878047,0.007585569185830122
MATERIAL_LER,-0.0015263313092744753,-0.01083087112957527,0.005575155563246276
soil_cross_33_intersect,-0.0016676200746523406,-0.014034099497539223,0.00488311359180037
MATERIAL_GAP,-0.0019319632205385092,-0.011719027211647212,0.005777835175931286
soil_33.0,-0.0024071005099936225,-0.012646425652150807,0.005873440336506325
soil_cross_28_close,-0.0025839821339868224,-0.01483083896041087,0.0046666122064960335
soil_cross_40_medium,-0.0026482971397312712,-0.01185335428391267,0.005573652376346023
soil_cross_55_intersect,-0.003486950222508593,-0.00448431376500067,0.0
soil_cross_91_intersect,-0.0035849981195347,-0.004484313765000677,0.0
soil_cross_95_very_close,-0.004012701216335886,-0.012706411362158979,0.0013840875678306887
soil_cross_200_very_far,-0.004441199130461194,-0.01330421010327675,0.004121767039455074
soil_cross_91_very_close,-0.005404023833550162,-0.00633938686778323,0.0
soil_cross_17_very_far,-0.005415113296229743,-0.006339386867783233,0.0
soil_cross_24_far,-0.005429304164598632,-0.006339386867783241,0.0
soil_cross_50_very_far,-0.005438191299187935,-0.006336641290584122,0.0
soil_cross_9147_very_far,-0.005986708011001613,-0.016428230413451362,0.000296305382884942
MATERIAL_PE,-0.006414600701018206,-0.015773713145269274,0.0014870212703955435
soil_cross_33_far,-0.006747993925758628,-0.007757923652743017,-0.00439262433253367
soil_cross_33_very_close,-0.006792288327314843,-0.007757839567997117,-0.004410320207688812
soil_cross_50_medium,-0.007426721148227679,-0.01791022150046148,-0.0017227939599991843
soil_cross_50_close,-0.007773412833360711,-0.015415655288663316,-0.0031673644665243285
MATERIAL_ST,-0.007831954709228888,-0.008958482573538925,-0.006104090808616885
soil_cross_50_very_close,-0.007867501486009452,-0.008950809873797093,-0.00448348772108781
soil_5.0,-0.00834573787651849,-0.016791887526410074,-0.002563611047983643
soil_cross_9147_very_close,-0.008773647588163467,-0.010003524666360397,-0.006240177272975226
soil_cross_890_far,-0.008952027755839543,-0.018585177250377536,0.0004610648025626768
MATERIAL_PVC,-0.00897641170535707,-0.01828689435835665,-0.0006844758827298823
soil_cross_17_far,-0.009254341747762686,-0.018596687805439306,-0.0037483751261282575
soil_cross_40_close,-0.009674085470924182,-0.018434898551147567,-0.001763606606181459
soil_cross_890_very_close,-0.009839116389003155,-0.019332553943695315,-0.001902352835345972
soil_cross_9147_close,-0.010474207035026174,-0.011806658854007942,-0.007717265456357559
soil_cross_40_far,-0.011218643160040497,-0.020864436688126743,-0.0030855314887406953
soil_cross_33_close,-0.01243766836889532,-0.01408324711323214,-0.009951111064722452
soil_50.0,-0.013635853975759244,-0.021903754384355812,-0.007455389379711933
soil_cross_9147_far,-0.014441255795852112,-0.02253717930466575,-0.008288636076954233
soil_cross_40_very_close,-0.014536479794660216,-0.02272450135448906,-0.009981701890381769
MATERIAL_GJJ,-0.014536787356596331,-0.022737983001552796,-0.007070901264247791
soil_cross_91_medium,-0.015644226399908225,-0.023437417522298085,-0.008414033645672543
soil_cross_9147_intersect,-0.015835201048424643,-0.017648469225502745,-0.013318874142927139
MATERIAL_WEHOLITE,-0.016362641567768527,-0.02194437858022439,-0.012513395071765774
soil_cross_890_close,-0.016702189322147634,-0.026147537874904543,-0.008022840934127572
soil_cross_890_medium,-0.01874218437355543,-0.027995371326746055,-0.009930582511938183
MATERIAL_SGN,-0.019059815050482633,-0.0243454557220845,-0.015561360306844525
soil_cross_9147_medium,-0.019388384858676257,-0.024553863447888957,-0.016165761633114874
soil_9147.0,-0.0194374317920132,-0.02119644800958745,-0.017230574144304983
soil_40.0,-0.021329132989426753,-0.030241031714920798,-0.012490258419908315
soil_cross_50_far,-0.022803266720911302,-0.024553990995678,-0.02076535769028549
soil_95.0,-0.026460618254634,-0.03420897577387846,-0.01933054564076391
MATERIAL_nan,-0.027215381644564524,-0.029002044884384588,-0.025025101694997713
MATERIAL_PP_URIB,-0.0377986681239539,-0.04157421336528907,-0.03481115506727825
soil_890.0,-0.03871472452082933,-0.047614023424391444,-0.031125658570601938
FTYP_D,-0.061166179882872825,-0.07039752214942564,-0.05253426582340816
MATERIAL_PP,-0.1384915779584931,-0.14325154789683128,-0.1336934229495636
RENOV_METOD_nan,-0.14525292161245817,-0.15656359652309246,-0.13458624577278883
